Iteration;MP2_0315_Hole_256;Iteration;CF_dark_1;Iteration;Tile_Crack;Iteration;Cable_Missing;Iteration;Pul_Resin;Iteration;Severstal_Steel;
103;-0,0127363;	103;0;	103;1,35454e-007;	103;-0,000335225;	103;-0,0223189;	103;-0,0234331;
102;-0,00817152;	102;-0,000692086;	102;-0,00187604;	102;-0,0158684;	102;-0,0201811;	102;-0,0125197;
101;-0,0139377;	101;-0,00191843;	101;-0,0125569;	101;-0,00292303;	101;-0,00790168;	101;-0,0102498;
100;-0,0109553;	100;-0,00184419;	100;-0,00720905;	100;-0,118602;	100;-0,0237933;	100;-0,00192294;
99;-0,0128783;	99;-0,000422684;	99;-0,0164326;	99;-0,00139957;	99;-0,0137907;	99;-0,00289633;
98;-0,0147536;	98;-0,000230951;	98;-0,00929592;	98;0;	98;1,60282e-006;	98;-0,00125289;
97;-0,00844878;	97;-0,000175332;	97;-0,0156534;	97;-0,00517202;	97;-0,00616458;	97;-0,000242266;
96;-0,00393615;	96;-0,000149479;	96;-0,00254875;	96;1,23542e-007;	96;-0,00181887;	96;-0,000167839;
95;-0,00288005;	95;-0,00106433;	95;5,82053e-008;	95;-0,0291116;	95;-0,0334266;	95;-0,0288183;
94;-0,0121479;	94;-4,98872e-005;	94;-0,0124587;	94;6,89665e-008;	94;-0,0138739;	94;-0,00173503;
93;-0,0061566;	93;0;	93;-0,00614236;	93;-0,139;	93;-0,00982688;	93;-0,0181164;
92;-0,0102796;	92;0;	92;-0,000290162;	92;-0,0205697;	92;-0,0116638;	92;-0,00352668;
91;-0,00582926;	91;-2,65679e-005;	91;-0,0244838;	91;-0,000745749;	91;-0,0111375;	91;-0,00223879;
90;-0,0202234;	90;-0,00231029;	90;-0,0186942;	90;-0,0111324;	90;-0,0423053;	90;-0,0058463;
89;-0,00514806;	89;-0,00388714;	89;-0,00114986;	89;-0,00522222;	89;-0,0117222;	89;-0,00153593;
88;-0,0135996;	88;7,45727e-010;	88;-0,00948579;	88;-0,00677128;	88;-0,0235471;	88;-0,00227867;
87;-0,0065198;	87;-0,00215019;	87;-0,00703929;	87;2,73197e-007;	87;-0,00568886;	87;-0,0297281;
86;-0,00547593;	86;-0,000789693;	86;-0,00889077;	86;-0,0652611;	86;-0,00190456;	86;-0,0242835;
85;-0,00843092;	85;0;	85;-0,0164926;	85;-0,0569119;	85;-0,0245568;	85;-0,00215455;
84;-0,00624376;	84;-0,00199922;	84;-0,014273;	84;-0,00780787;	84;-0,00518532;	84;-0,0322807;
83;-0,00728213;	83;-0,00178113;	83;-0,00133396;	83;-0,052995;	83;-0,0119059;	83;-0,00810771;
82;-0,00951696;	82;0;	82;-0,00289431;	82;-0,00387962;	82;-0,0530032;	82;-0,00246976;
81;-0,00447861;	81;-0,00115865;	81;2,41061e-007;	81;-0,0222797;	81;-0,0149125;	81;-0,0192456;
80;-0,00803692;	80;7,10473e-009;	80;-0,00454182;	80;-0,000769337;	80;-0,0587426;	80;-0,00704324;
79;-0,00705015;	79;3,38533e-009;	79;-0,0109948;	79;-0,0103353;	79;-0,00655175;	79;-0,00351179;
78;-0,0103112;	78;0;	78;-0,0150694;	78;-0,000231449;	78;1,62166e-006;	78;-0,00499353;
77;-0,0189719;	77;0;	77;-0,000896487;	77;1,34805e-007;	77;-0,00121414;	77;-0,00185691;
76;-0,00622174;	76;0;	76;-0,00535898;	76;-0,0122199;	76;-0,0564049;	76;-0,0121542;
75;-0,0120068;	75;0;	75;-0,0146856;	75;-0,0122382;	75;-0,0146979;	75;-0,00837406;
74;-0,0140061;	74;-0,000176367;	74;-0,0369498;	74;-0,151709;	74;-0,0485884;	74;-0,00729789;
73;-0,0162117;	73;-0,000687714;	73;-0,0205811;	73;-0,0651185;	73;-0,0186357;	73;-0,0041292;
72;-0,0128955;	72;0;	72;-0,0187319;	72;3,38872e-008;	72;-0,000748368;	72;-0,00329509;
71;-0,0122397;	71;0;	71;-0,0217398;	71;-0,0172146;	71;-0,00673948;	71;-0,0016497;
70;-0,0165444;	70;5,80767e-008;	70;-0,00592073;	70;-0,000115839;	70;-0,0199963;	70;-0,0167747;
69;-0,00796782;	69;-0,00227647;	69;-0,0333472;	69;-0,0091651;	69;-0,0102762;	69;-0,0100744;
68;-0,00433005;	68;0;	68;-0,00600484;	68;3,79703e-006;	68;-0,00725309;	68;-0,0214755;
67;-0,00249764;	67;8,08239e-009;	67;8,62837e-008;	67;-0,000452288;	67;-0,0247444;	67;-0,0135529;
66;-0,00739399;	66;0;	66;-0,00744745;	66;0;	66;-0,00234642;	66;-0,00270857;
65;-0,0393076;	65;-0,000711001;	65;-0,00955023;	65;0;	65;3,21087e-006;	65;-0,00510914;
64;-0,00661336;	64;0;	64;1,04955e-007;	64;-0,0349371;	64;-0,0589786;	64;-0,0201547;
63;-0,0202283;	63;2,51821e-012;	63;2,08221e-006;	63;-0,020251;	63;-0,000298276;	63;-0,0101507;
62;-0,00822911;	62;3,80701e-009;	62;1,89102e-008;	62;-0,0098349;	62;-0,00837833;	62;-0,0329776;
61;-0,00831671;	61;-0,00170033;	61;-6,25782e-005;	61;-0,0132838;	61;-0,0237492;	61;-0,0111254;
60;-0,023789;	60;0;	60;1,19181e-007;	60;-0,0217496;	60;-0,0208577;	60;-0,0102512;
