Metric: entropy_arr
| Dataset    | Avg. Fit. | Entropy | # Images |
| carpet | 0.3026647209895258 | 47.10885791778564 | 10 |
| crack_forest | 0.35524891470479414 | 93.96065718951776 | 0 |
| None | 0.17992411863741414 | nan | 5 |
----------------------------------------------------------------

Metric: image_size
| Dataset    | Avg. Fit. | Entropy | # Images |
| t_8 | 0.0299660741019151 | 1048576.0 | 24 |
| 80.jpg_dark_1 | 0.06338724146514814 | 1048576.0 | 16 |
| 81.jpg_bright | 0.030005440549644435 | 1048576.0 | 32 |
| 80.jpg_dark_4 | 0.27262126215227594 | 1048576.0 | 8 |
| 80.jpg_dark_5 | 0.06819294080608303 | 1048576.0 | 16 |
| FabricDefectsAITEX | 0.13369802570835207 | 1048576.0 | 20 |
| kos10 | 0.07770983260550123 | 633500.0 | 8 |
| bottle_large | 0.26225513731343236 | 810000.0 | 10 |
| bottle_small | 0.28464968029224386 | 810000.0 | 11 |
| cable_missing_train | 0.6728396354139807 | 1048576.0 | 6 |
| capsule | 0.15132567662349938 | 1000000.0 | 10 |
| grid_thread | 0.22575435337960606 | 1048576.0 | 10 |
| hazelnut_crack_train | 0.3211591271554146 | 1048576.0 | 9 |
| leather | 0.3542320590261696 | 1048576.0 | 10 |
| metal_nut | 0.11186050396653803 | 490000.0 | 11 |
| pill | 0.3568444599584175 | 640000.0 | 13 |
| screw_scratch_neck_train | 0.16625183329373924 | 1048576.0 | 12 |
| tile_crack | 0.5549096597530526 | 705600.0 | 8 |
| transistor_damaged_case_train | 0.2235231667261248 | 1048576.0 | 5 |
| wood_scratch | 0.375791355016471 | 1048576.0 | 9 |
| zipper | 0.28612142322204837 | 1048576.0 | 8 |
| MT_Blowhole_train | 0.24132746878410258 | 81235.45614035087 | 57 |
| resin_cgp | 0.4194555239730826 | 90000.0 | 20 |
| resin_cgp_augmented | 0.27331149760548373 | 90000.0 | 20 |
| window_cgp | 0.5404131094476052 | 90000.0 | 20 |
| severstal | 0.20878441083697966 | 409600.0 | 15 |
| spule-upside-0117 | 0.2260461338258702 | 263168.0 | 0 |
| spule2-0816_Upside-dl1 | 0.3439434728439567 | 263168.0 | 0 |
| toothbrush_small | 0.2134207678318056 | 1048576.0 | 12 |
| CF_RefSet | 0.18715859707154983 | 4349513.117647059 | 34 |
| CF_ReferenceSet_Small_Dark | 0.19065787842053256 | 3341666.6666666665 | 6 |
| 80.jpg_dark_2 | 0.17827867743968123 | 1048576.0 | 0 |
| 80.jpg_dark_3 | 0.16132310651968113 | 1048576.0 | 16 |
| spule-upside-0315 | 0.6341683603837274 | 263168.0 | 105 |
| spule-upside-hole | 0.18286907955278595 | 263168.0 | 29 |
| spule-upside-hole256 | 0.17887530124981424 | 65792.0 | 29 |
| CF_RefSet_Small_Light | 0.23250726753228973 | 4550238.0 | 7 |
| carpet | 0.3026647209895258 | 1048576.0 | 10 |
| crack_forest | 0.35524891470479414 | 153600.0 | 0 |
| None | 0.17992411863741414 | nan | 5 |
----------------------------------------------------------------

Metric: hist_entropy
| Dataset    | Avg. Fit. | Entropy | # Images |
| t_8 | 0.0299660741019151 | 1.071006450698846 | 24 |
| 80.jpg_dark_1 | 0.06338724146514814 | 1.209223040569288 | 16 |
| 81.jpg_bright | 0.030005440549644435 | 1.4914702759938447 | 32 |
| 80.jpg_dark_4 | 0.27262126215227594 | 2.466757938027694 | 8 |
| 80.jpg_dark_5 | 0.06819294080608303 | 1.4390822984610692 | 16 |
| FabricDefectsAITEX | 0.13369802570835207 | 3.147968001190029 | 20 |
| kos10 | 0.07770983260550123 | 2.100597765163979 | 8 |
| bottle_large | 0.26225513731343236 | 2.8737619586621816 | 10 |
| bottle_small | 0.28464968029224386 | 2.734585292869971 | 11 |
| cable_missing_train | 0.6728396354139807 | 3.923928103625667 | 6 |
| capsule | 0.15132567662349938 | 3.512312650749154 | 10 |
| grid_thread | 0.22575435337960606 | 3.4908902189064577 | 10 |
| hazelnut_crack_train | 0.3211591271554146 | 2.747095526878474 | 9 |
| leather | 0.3542320590261696 | 2.8192893923441025 | 10 |
| metal_nut | 0.11186050396653803 | 2.9111774976686062 | 11 |
| pill | 0.3568444599584175 | 2.476818599230899 | 13 |
| screw_scratch_neck_train | 0.16625183329373924 | 2.956733639677305 | 12 |
| tile_crack | 0.5549096597530526 | 3.5256358548857216 | 8 |
| transistor_damaged_case_train | 0.2235231667261248 | 3.440694126803544 | 5 |
| wood_scratch | 0.375791355016471 | 3.231785822405543 | 9 |
| zipper | 0.28612142322204837 | 2.7796467392891753 | 8 |
| MT_Blowhole_train | 0.24132746878410258 | 3.137389519989865 | 57 |
| resin_cgp | 0.4194555239730826 | 3.4633396692507694 | 20 |
| resin_cgp_augmented | 0.27331149760548373 | 3.4548868150541017 | 20 |
| window_cgp | 0.5404131094476052 | 3.648631219573949 | 20 |
| severstal | 0.20878441083697966 | 3.2850258339846996 | 15 |
| spule-upside-0117 | 0.2260461338258702 | 2.8857335284524597 | 0 |
| spule2-0816_Upside-dl1 | 0.3439434728439567 | 2.8428958177911725 | 0 |
| toothbrush_small | 0.2134207678318056 | 2.3346927808041134 | 12 |
| CF_RefSet | 0.18715859707154983 | 3.4870400690225347 | 34 |
| CF_ReferenceSet_Small_Dark | 0.19065787842053256 | 2.8994050267958404 | 6 |
| 80.jpg_dark_2 | 0.17827867743968123 | 1.3885396788547817 | 0 |
| 80.jpg_dark_3 | 0.16132310651968113 | 1.5633633814747543 | 16 |
| spule-upside-0315 | 0.6341683603837274 | 2.992563510244054 | 105 |
| spule-upside-hole | 0.18286907955278595 | 2.845667786807084 | 29 |
| spule-upside-hole256 | 0.17887530124981424 | 2.8834002464196784 | 29 |
| CF_RefSet_Small_Light | 0.23250726753228973 | 3.691954013872826 | 7 |
| carpet | 0.3026647209895258 | 3.6136895244160927 | 10 |
| crack_forest | 0.35524891470479414 | 4.054573296867206 | 0 |
| None | 0.17992411863741414 | nan | 5 |
----------------------------------------------------------------

Metric: jpeg_complexity
| Dataset    | Avg. Fit. | Entropy | # Images |
| t_8 | 0.0299660741019151 | 0.9792223000699941 | 24 |
| 80.jpg_dark_1 | 0.06338724146514814 | 1.4190447945763252 | 16 |
| 81.jpg_bright | 0.030005440549644435 | 1.8841728822964687 | 32 |
| 80.jpg_dark_4 | 0.27262126215227594 | 2.5396370384937197 | 8 |
| 80.jpg_dark_5 | 0.06819294080608303 | 2.13416981152471 | 16 |
| FabricDefectsAITEX | 0.13369802570835207 | 2.56256245523212 | 20 |
| kos10 | 0.07770983260550123 | 1.9093064993233397 | 8 |
| bottle_large | 0.26225513731343236 | 5.464291075838686 | 10 |
| bottle_small | 0.28464968029224386 | 5.104664877452639 | 11 |
| cable_missing_train | 0.6728396354139807 | 8.263114793458726 | 6 |
| capsule | 0.15132567662349938 | 10.225280705190004 | 10 |
| grid_thread | 0.22575435337960606 | 2.9474806642836624 | 10 |
| hazelnut_crack_train | 0.3211591271554146 | 12.590423373957686 | 9 |
| leather | 0.3542320590261696 | 6.3472061636051365 | 10 |
| metal_nut | 0.11186050396653803 | 6.567193285623625 | 11 |
| pill | 0.3568444599584175 | 12.189289200356885 | 13 |
| screw_scratch_neck_train | 0.16625183329373924 | 4.381296809904313 | 12 |
| tile_crack | 0.5549096597530526 | 6.003996809275689 | 8 |
| transistor_damaged_case_train | 0.2235231667261248 | 10.590004970922314 | 5 |
| wood_scratch | 0.375791355016471 | 6.363373754683284 | 9 |
| zipper | 0.28612142322204837 | 2.6437897258331198 | 8 |
| MT_Blowhole_train | 0.24132746878410258 | 3.1426778222301874 | 57 |
| resin_cgp | 0.4194555239730826 | 4.109130596753233 | 20 |
| resin_cgp_augmented | 0.27331149760548373 | 3.9032105852142642 | 20 |
| window_cgp | 0.5404131094476052 | 4.098904857876995 | 20 |
| severstal | 0.20878441083697966 | 3.88655805733668 | 15 |
| spule-upside-0117 | 0.2260461338258702 | 2.7782737920918676 | 0 |
| spule2-0816_Upside-dl1 | 0.3439434728439567 | 3.00279438386664 | 0 |
| toothbrush_small | 0.2134207678318056 | 11.4174076872229 | 12 |
| CF_RefSet | 0.18715859707154983 | 4.422402815243848 | 34 |
| CF_ReferenceSet_Small_Dark | 0.19065787842053256 | 1.6821077671401612 | 6 |
| 80.jpg_dark_2 | 0.17827867743968123 | 2.0871792666034423 | 0 |
| 80.jpg_dark_3 | 0.16132310651968113 | 2.441566860618713 | 16 |
| spule-upside-0315 | 0.6341683603837274 | 2.368933644684465 | 105 |
| spule-upside-hole | 0.18286907955278595 | 2.3728607604132614 | 29 |
| spule-upside-hole256 | 0.17887530124981424 | 2.319975420613101 | 29 |
| CF_RefSet_Small_Light | 0.23250726753228973 | 4.952747552215281 | 7 |
| carpet | 0.3026647209895258 | 4.985831308785682 | 10 |
| crack_forest | 0.35524891470479414 | 4.379508195640971 | 0 |
| None | 0.17992411863741414 | nan | 5 |
----------------------------------------------------------------

Metric: fractal_dimension
| Dataset    | Avg. Fit. | Entropy | # Images |
| t_8 | 0.0299660741019151 | 0.7871722978920531 | 24 |
| 80.jpg_dark_1 | 0.06338724146514814 | 0.33423306294014027 | 16 |
| 81.jpg_bright | 0.030005440549644435 | 0.5804160236366657 | 32 |
| 80.jpg_dark_4 | 0.27262126215227594 | 1.229544904154017 | 8 |
| 80.jpg_dark_5 | 0.06819294080608303 | 0.8964510445488305 | 16 |
| FabricDefectsAITEX | 0.13369802570835207 | 1.3445338715766706 | 20 |
| kos10 | 0.07770983260550123 | 1.15359231856049 | 8 |
| bottle_large | 0.26225513731343236 | 1.059987171380577 | 10 |
| bottle_small | 0.28464968029224386 | 0.993768886881088 | 11 |
| cable_missing_train | 0.6728396354139807 | 1.2230913719635197 | 6 |
| capsule | 0.15132567662349938 | 0.8784593522806079 | 10 |
| grid_thread | 0.22575435337960606 | 1.4149335710194637 | 10 |
| hazelnut_crack_train | 0.3211591271554146 | 1.2205024712066799 | 9 |
| leather | 0.3542320590261696 | 0.9820797178876088 | 10 |
| metal_nut | 0.11186050396653803 | 1.0518599629016598 | 11 |
| pill | 0.3568444599584175 | 0.7429182986466724 | 13 |
| screw_scratch_neck_train | 0.16625183329373924 | 1.035967165236661 | 12 |
| tile_crack | 0.5549096597530526 | 1.3104531401517903 | 8 |
| transistor_damaged_case_train | 0.2235231667261248 | 1.1073513135722703 | 5 |
| wood_scratch | 0.375791355016471 | 1.4430302519340852 | 9 |
| zipper | 0.28612142322204837 | 1.0418613339169251 | 8 |
| MT_Blowhole_train | 0.24132746878410258 | 1.1335027488026284 | 57 |
| resin_cgp | 0.4194555239730826 | 1.0240638099102362 | 20 |
| resin_cgp_augmented | 0.27331149760548373 | 1.0196864703109043 | 20 |
| window_cgp | 0.5404131094476052 | 1.0799685855034393 | 20 |
| severstal | 0.20878441083697966 | 1.2040234118094781 | 15 |
| spule-upside-0117 | 0.2260461338258702 | 1.3048363670974077 | 0 |
| spule2-0816_Upside-dl1 | 0.3439434728439567 | 1.2428134571168077 | 0 |
| toothbrush_small | 0.2134207678318056 | 1.229645042674422 | 12 |
| CF_RefSet | 0.18715859707154983 | 1.43173205909207 | 34 |
| CF_ReferenceSet_Small_Dark | 0.19065787842053256 | 1.1736356179499476 | 6 |
| 80.jpg_dark_2 | 0.17827867743968123 | 0.8325372513070826 | 0 |
| 80.jpg_dark_3 | 0.16132310651968113 | 0.862134793314995 | 16 |
| spule-upside-0315 | 0.6341683603837274 | 1.252238181368589 | 105 |
| spule-upside-hole | 0.18286907955278595 | 1.2486227502953948 | 29 |
| spule-upside-hole256 | 0.17887530124981424 | 1.2439335126953133 | 29 |
| CF_RefSet_Small_Light | 0.23250726753228973 | 1.567807762345902 | 7 |
| carpet | 0.3026647209895258 | 1.42600941309984 | 10 |
| crack_forest | 0.35524891470479414 | 1.5237038256238138 | 0 |
| None | 0.17992411863741414 | nan | 5 |
----------------------------------------------------------------

Metric: texture_features
| Dataset    | Avg. Fit. | Entropy | # Images |
| t_8 | 0.0299660741019151 | 35.41940243886353 | 24 |
| 80.jpg_dark_1 | 0.06338724146514814 | 24.66745636493463 | 16 |
| 81.jpg_bright | 0.030005440549644435 | 63.46902300255739 | 32 |
| 80.jpg_dark_4 | 0.27262126215227594 | 208.1564161015396 | 8 |
| 80.jpg_dark_5 | 0.06819294080608303 | 66.7108549861964 | 16 |
| FabricDefectsAITEX | 0.13369802570835207 | 185.41277758699633 | 20 |
| kos10 | 0.07770983260550123 | 4.67608586290529 | 8 |
| bottle_large | 0.26225513731343236 | 59.87875108144853 | 10 |
| bottle_small | 0.28464968029224386 | 27.9092005707801 | 11 |
| cable_missing_train | 0.6728396354139807 | 27.93164897780731 | 6 |
| capsule | 0.15132567662349938 | 7.628576176176175 | 10 |
| grid_thread | 0.22575435337960606 | 41.78414064409214 | 10 |
| hazelnut_crack_train | 0.3211591271554146 | 34.3136556042617 | 9 |
| leather | 0.3542320590261696 | 19.00773823161046 | 10 |
| metal_nut | 0.11186050396653803 | 27.83287312115638 | 11 |
| pill | 0.3568444599584175 | 13.238047499277947 | 13 |
| screw_scratch_neck_train | 0.16625183329373924 | 8.022375420663286 | 12 |
